generation,avg_fitness,max_fitness
0,0.24887479013465236,0.32327326342684326
1,0.2755719279572737,0.38159853350991746
2,0.2945871821113413,0.38159853350991746
3,0.27191951551280186,0.38159853350991746
4,0.2738588761433353,0.38159853350991746
5,0.29503313134506304,0.38159853350991746
6,0.28938399118365543,0.38159853350991746
7,0.31282254990358827,0.3966479590201478
8,0.29404503198626386,0.3966479590201478
9,0.3045146727743918,0.3966479590201478
10,0.294829557328524,0.3966479590201478
11,0.30002471761907135,0.3966479590201478
12,0.30600979054231664,0.3966479590201478
13,0.30506289430225325,0.3966479590201478
14,0.32955400151470643,0.41986244483613555
15,0.3467060023017367,0.41986244483613555
16,0.33742852037378657,0.41986244483613555
17,0.35143136428719585,0.425830609412867
18,0.357720497095781,0.425830609412867
19,0.3479711965943148,0.425830609412867
20,0.32136559697956724,0.425830609412867
21,0.36203623863181117,0.425830609412867
22,0.36085243467244243,0.425830609412867
23,0.3666489074558343,0.425830609412867
24,0.3766475686619944,0.425830609412867
25,0.34638674488071414,0.425830609412867
26,0.3595239046526596,0.425830609412867
27,0.37554004181319195,0.45617786978661107
28,0.3767413591594632,0.45617786978661107
29,0.3852611052585735,0.45617786978661107
30,0.3833419194615236,0.4664025302899514
31,0.39262389479191967,0.4664025302899514
32,0.3733245412766797,0.4664025302899514
33,0.35663215688552147,0.4664025302899514
34,0.39800129263904327,0.4664025302899514
35,0.4011111282288719,0.4664025302899514
36,0.3961664550130981,0.4664025302899514
37,0.38169123943453004,0.4664025302899514
38,0.413187003692909,0.4664025302899514
39,0.3853611067184401,0.4664025302899514
40,0.3737684943069727,0.4664025302899514
41,0.38696046940424167,0.4664025302899514
42,0.3861575064653956,0.4664025302899514
43,0.3910071772825311,0.4664025302899514
44,0.38420126266676463,0.4664025302899514
45,0.4031463315074412,0.4664025302899514
46,0.3955662502363348,0.4672041761412181
47,0.4015020013366797,0.4672041761412181
48,0.38161550754475126,0.4672041761412181
49,0.3922733454403532,0.4672041761412181
