generation,avg_fitness,max_fitness
0,0.2472885718026048,0.3252345082075687
1,0.26048033622321015,0.32841276230966643
2,0.27516005782033176,0.3809090596085037
3,0.2834285301485868,0.36695273279186325
4,0.2845135928360117,0.3948379290847963
5,0.31116774903188543,0.3911062891841278
6,0.32733991004181,0.4128222315261881
7,0.3290000153764998,0.4043529537897498
8,0.34377807326627746,0.44354776888482456
9,0.3651597182353386,0.4666636063539236
10,0.39431977216822756,0.4695229464812678
11,0.3732142250038527,0.4724316409005599
12,0.3724039514062484,0.4682430517070707
13,0.4050956026684445,0.4672041761412181
14,0.3928978199599375,0.4710019483670097
15,0.3943196561559362,0.47515552790500326
16,0.40197552350989396,0.475810300995106
17,0.38403144758863217,0.47515552790500326
18,0.38542734046610366,0.475810300995106
19,0.4069408197912263,0.475810300995106
20,0.4039300676333348,0.47515552790500326
21,0.4085825545234844,0.4724316409005599
22,0.4097845760679654,0.475810300995106
23,0.378694772825755,0.47515552790500326
24,0.40788479379504144,0.475810300995106
25,0.4040476128826098,0.475810300995106
