generation,avg_fitness,max_fitness
0,0.24887479013465236,0.32327326342684326
1,0.2741544876160216,0.38466318011685474
2,0.2858095936993749,0.38278989664924623
3,0.28093446416987766,0.3780021223076976
4,0.30578058581789125,0.4122134683545961
5,0.32624904348364614,0.4526924433252972
6,0.34925592478862405,0.4491304478007426
7,0.3827871013146658,0.44909073946583583
8,0.3608205083349035,0.447359526213541
9,0.3955308335135144,0.4523710294613139
10,0.3872625343029192,0.4535395935246188
11,0.40357564492101994,0.4683544396889585
12,0.3827074116767408,0.4680842810073448
13,0.39962379410756255,0.4670852041085154
14,0.36745648574746376,0.4659041862837467
15,0.3566110009665309,0.46577714727435654
16,0.3598094007912988,0.46511935218325134
17,0.3600146738286703,0.46876386818123184
18,0.3538945980900356,0.47023097726896307
19,0.35765051690940364,0.4693350311858437
20,0.38156997907067747,0.4713972598677143
21,0.3922629979186648,0.4680045730473499
22,0.40308882051557743,0.46703375882337916
23,0.40759372377929526,0.47013520996334396
24,0.39865420841763094,0.4720761243483419
25,0.3985980209042912,0.47220813243303383
26,0.3607392042613952,0.4692260132319174
27,0.3968553303561041,0.4719754549561304
28,0.39348482098580295,0.4703817177981441
29,0.3841045775708769,0.4714645730649522
30,0.371330657709904,0.46849289753503726
