generation,avg_fitness,max_fitness
0,0.2472885718026048,0.3252345082075687
1,0.26070585318425643,0.3252345082075687
2,0.2773640448093762,0.3252345082075687
3,0.28521131723775167,0.40240517837283163
4,0.3048938733712176,0.40240517837283163
5,0.2999404293223076,0.40240517837283163
6,0.3027544923571787,0.40240517837283163
7,0.31318155582094903,0.40240517837283163
8,0.3271701994678117,0.4192907148385851
9,0.32056208112607615,0.4192907148385851
10,0.34530595843804784,0.44718974854934057
11,0.32071410043766624,0.44718974854934057
12,0.3438675184683876,0.44718974854934057
13,0.35553742173055636,0.44718974854934057
14,0.37198507436607015,0.44718974854934057
15,0.3535687732366928,0.44718974854934057
16,0.3655465919573311,0.44718974854934057
17,0.3538891633202216,0.44718974854934057
18,0.3577963519413897,0.44718974854934057
19,0.3704317104396468,0.44718974854934057
20,0.3788064565115493,0.44718974854934057
21,0.3579264632808902,0.44718974854934057
22,0.38357875054072627,0.4683544396889585
23,0.3943462693663189,0.46967413779354417
24,0.398293458413384,0.46967413779354417
