generation,avg_fitness,max_fitness
1,-2.19423076923077,-0.7961538461538462
2,-1.4254086538461537,0.08974358974358987
3,-0.9619871794871797,-0.1807692307692308
4,-0.9301802884615382,0.0346153846153846
5,-1.0086758814102565,-0.1807692307692308
6,-1.1313100961538463,-0.3237179487179488
7,-1.2126622596153847,-0.06955128205128208
8,-0.8630909455128206,-0.10080128205128211
9,-0.9900703625801283,0.225
10,-0.900552978515625,0.225
11,-0.47076024764623414,0.4346153846153846
12,-0.7144951923076925,0.2679487179487179
13,-0.26351862980769236,0.4346153846153846
14,-0.2981783353365385,0.4346153846153846
15,-0.6014795078375401,0.2679487179487179
16,-0.7095926020695614,0.2679487179487179
17,-0.41860636613307856,0.2679487179487179
18,-0.22095234458263108,0.1934691905975342
19,-0.4536102809508642,0.3012820512820512
20,-0.4662080612740457,0.19918364882469178
21,-0.6674641306717428,0.4346153846153846
22,-0.41210628461021087,0.7051282051282053
23,-0.5458494959474327,0.4346153846153846
24,-0.5303888154817292,0.2679487179487179
25,-0.6380558268229168,0.2387820512820512
26,-0.635504090733653,0.24503205128205124
27,-0.517776083828365,0.7051282051282053
28,-0.40331382629419055,0.2679487179487179
29,-0.6794595278226414,0.36089743589743595
30,-0.433311054034111,0.36089743589743595
31,-0.4322345753205129,0.5275641025641025
32,-0.27431214943910265,0.5275641025641025
33,-0.25282051282051293,0.7051282051282053
34,-0.3716666666666667,1.3205128205128207
35,-0.4947435897435898,0.2679487179487179
36,-0.5644871794871797,0.2679487179487179
37,-0.7698717948717949,0.5275641025641025
38,-0.5200641025641025,0.7051282051282053
39,-0.4016987179487179,1.3205128205128207
40,-0.40249999999999997,0.7051282051282053
41,-0.2445833333333332,1.3205128205128207
42,0.08974358974358987,0.7051282051282053
43,0.30512820512820527,1.3205128205128207
44,0.3666666666666668,1.3205128205128207
45,0.6435897435897436,1.3205128205128207
