generation,avg_fitness,max_fitness
0,0.25891054765354543,0.3340939730569405
1,0.2687266954153524,0.3363846669406559
2,0.2750490151257635,0.34322206841454195
3,0.29332711414123264,0.3989254781180692
4,0.3069959415060949,0.400478247267705
5,0.32738271199704155,0.40972458225534464
6,0.33190511323530336,0.41825716014364833
7,0.35264070362787087,0.4206270907582498
8,0.3390883862459727,0.4205338976608869
9,0.3482434721424835,0.4187218802700047
10,0.35038789205271464,0.41740997880339026
11,0.3638869599814737,0.42027111390914756
12,0.35975532126881904,0.44969831851690545
13,0.35324450198355506,0.4435052350306322
14,0.35543285188628926,0.44197442607687276
15,0.35847377374207817,0.44558996919071087
16,0.38216589653645755,0.44022416095512706
17,0.35444030055567516,0.4465354141809357
18,0.34442767385058315,0.44428278471830274
19,0.35959246981246873,0.442583203069585
20,0.36907415153697454,0.4702688227481554
21,0.36541817550382655,0.4702688227481554
22,0.3770356290136415,0.4680624274209904
23,0.41114058586808366,0.4703635389271887
24,0.4097418104548195,0.4715220874496816
25,0.4018093801475679,0.4720400201610564
26,0.38226121383819966,0.46927084152060794
27,0.4096829281296724,0.47188662531040715
28,0.39512718896597654,0.47161659454117233
29,0.3920825183611291,0.47146777656755934
30,0.415784983091846,0.4726844025933686
31,0.393929206155054,0.4736728527180224
32,0.4001198284214432,0.4741799129403101
33,0.3753300518543332,0.4729087271109899
34,0.3644804540147033,0.4731472974172531
35,0.3910617669298461,0.47295035632797333
36,0.38491096997266083,0.47232679605510497
37,0.42227154412510326,0.4710549187468225
38,0.37753362145865144,0.47084754925693184
39,0.41868601247798143,0.4718423538335663
40,0.3929144683173787,0.4715061916469437
41,0.39990099521626254,0.47053351391945425
42,0.40081426951793697,0.4720122788765913
43,0.4164240941729319,0.47082600700768384
44,0.4206468474108647,0.46979392193662073
45,0.40879040204278183,0.47282733912092667
46,0.42676079093380154,0.47295738502896795
47,0.39746512282624913,0.4740985514154232
48,0.3918058020527803,0.47067483692014767
49,0.37480612291356413,0.4735424791504552
